Product SKU Code,Barcode,Manufacturer (brand),Range,Product Name,Category ,Sub Category (optional),Sub Sub Category (optional),Mini Product Description,Full Product Description,Set Comprising of (optional),Our Price ex VAT (sale price),SSP ex VAT ,Related Items (SKU Codes),Alternative Items (SKU Codes),Solid Plate (suitable),Radiant Ring (suitable),Ceramic (suitable),Halogen (suitable),Gas (suitable),Induction (suitable),Oven Safe (attribute),Dishwasher (suitable),Material (attribute),Capacity (attribute),Colour Exterior (attribute),Diameter (attribute),Helper handle assistance (attribute),Lid (attribute),Weight (attribute),Non-stick cooking surface(attribute),Non-stick Exterior (attribute)
76500,100018523969.00,Circulon,Steel Elite,14cm Milkpan,Cookware,Milkpans,,"Circulon boasts the Patented TOTAL® Ti Titanium composite Hi-Low Release System.
/ Protects non-stick surface from abrasion / Outlasts all other stainless steel non-sticks Guaranteed! / Allows trapped moisture to escape for even browning.","/ Impact-bonded base for even-heat distribution with no ‘hot spots’ / Slip free, safety grip handles stay cool on stove top / Stainless steel and silicone handles for comfort and safety / Brushed stainless steel base minimises scratches / Stainless steel for maximum durability and shine / Lifetime Customer Satisfaction Guarantee
",,27.2340425532,,,,Y,Y,Y,Y,Y,Y,180,Y,Stainless steel,0.9,Silver,14,No,No,1,Yes,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84352,5011275843525,Raymond Blanc,Cookware,"5 Piece Non-stick Pan Set, Induction ready",Cookware,Pan Sets,,,Hard anodised durable body/Excellent heat distribution/Non-stick triple layer interior/Stainless steel handles with silicone soft grip/Dishwasher safe/Oven safe to 180C 350F Gas mark 4,14cm Milk pan/16cm Saucepan/18cm Saucepan/20cm Saucepan/24cm French Skillet,108.33,180.32,,,Y,Y,Y,Y,Y,Y,180,Y,Hard Anodised,,,,,,,Yes,Yes
78125,5011275781254,Meyer ,Stainless Steel,"6 Piece Pan Set, Induction ready",Cookware,Pan Sets,,,Non-stick stainless steel/Glass saucepan lids to view cooking/Dishwasher safe/Oven safe to 180C Gas mark4/Suits all hob types - induction ready,,74.99,183.33,,,Y,Y,Y,Y,Y,Y,180,Y,Stainless Steel,,,,,,,Frys only,No
SEZA1,5051896003168,Stellar,EaziStore,"3 Piece Pan Set, induction ready",Cookware,Pan Sets,,,Convenient nesting storage system/Durable polished stainless steel/Thick forged base for even heat distribution/Dishwasher and oven safe/Suitable for all hob types,"16cm, 18cm and 20cm Saucepans",54.17,154.17,,,Y,Y,Y,Y,Y,Y,180,Y,Stainless Steel,,,,,,,No,No
PP453,5051896011965,Judge,Vista,"5 Piece Pan Set, induction ready",Cookware,Pan Sets,,,,,79.17,248.33,,,Y,Y,Y,Y,Y,Y,180,Y,Stainless Steel,,,,,,,No,No
PP508,,Judge,,Double Grill Pan 28cm,Cookware,Grill Pans,,,,,12.92,33.33,,,Y,Y,Y,Y,Y,Y,180,Y,,,,,,,,Yes,Yes
82409,5011275824098,Circulon,Contempo,5 Piece Non-stick Cookware set with frying pan,,Pan Sets,,,"Total Hi-Low food release system gives superb non-stick performance/Attractive aluminium design combines durability and ease of cleaning/Ensures even heat distribution/silicone and steel handles for safety and comfort/Dishwasher and oven safe/Suitable for solid plate, gas, radiant and halogen hobs",14cm (0.9L) Milk Pan/16cm (1.4L) Saucepan/18cm (1.9L) Saucepan/20cm (2.8L) Saucepan/24cm (9'' French Skillet),,,,,Y,Y,,Y,Y,,180,Y,Aluminium,,,,,,,Yes,No
13659,5000263136596,Prestige,Create,5 Piece Aluminium Non-stick Pan Set,,Pan Sets,,,Cushion Smart non-stick interior for faster heating and cooking/Durable aluminium construction with glass lid to view cooking/Heat resistant riveted safety handles/Dishwasher and oven safe/Metal utensil safe/Suitable for multiple hob types excluding induction/10 year guarantee,14cm (0.9L) Milk Pan/16cm (1.4L) Saucepan/18cm (1.9L) Saucepan/20cm (2.8L) Saucepan/Large 24cm Frying Pan,,,,,Y,Y,Y,Y,Y,N,180,Y,Aluminium,,Black,,,,,Yes,No
16112,5011275161124,Circulon,,"3 Piece  Non-stick Pan Set, induction ready",CookwarePan Sets,,,,Featuring Total food release system for outperfoming non-stick performance/Hi-Low wave technology combines durability with incredible non-stick property/Suitable for all hob types - induction ready/Superb heat distribution and durability/Dishwasher and oven safe,16cm (1.4L) Saucepan with lid/18cm (1.9L) Saucepan with lid/20cm (2.8L) Saucepan with lid,,,,,Y,Y,Y,Y,Y,Y,180,Y,,,,,,,,Yes,No
